Date,Admission_Total,Mortality,U60_Mortality,O2_saturation,ICU_ADD,Non_invasive_ventialion ,Inutabet_C19_Pt,Non-intubated_C19_PT,Free_Ventilators,Using_Ventialtors,Infected_paramedics
1/31/2022,24,0,0,81,0,7,0,38,48,38,4
2/1/2022,36,0,0,81.5,0,7,1,30,54,31,8
2/2/2022,31,1,1,80,1,5,2,28,53,30,8
2/3/2022,35,0,0,80.5,0,6,2,33,50,35,28
2/4/2022,41,0,0,80.5,0,8,2,35,47,37,28
2/5/2022,40,2,2,80,3,6,2,25,57,27,29
2/6/2022,41,1,1,80,0,5,4,26,55,30,30
2/7/2022,43,0,0,81,1,7,3,34,46,37,28
2/8/2022,56,0,0,80,2,6,6,26,50,32,54
2/9/2022,70,2,0,80,4,9,3,26,55,30,53
2/10/2022,71,4,3,80.5,0,11,5,32,47,37,55
2/11/2022,79,1,0,81,0,12,9,29,42,38,29
2/12/2022,78,1,0,80,0,12,11,27,42,38,29
2/13/2022,86,2,0,80.5,0,9,12,28,42,40,39
2/14/2022,79,3,0,81,2,12,12,33,38,45,32
2/15/2022,83,3,1,82,6,4,12,35,46,37,32
2/16/2022,89,2,1,82,8,6,16,25,41,41,32
2/17/2022,92,2,0,83,8,6,16,24,42,40,13
2/18/2022,88,1,1,81.5,8,6,13,27,42,40,13
2/19/2022,72,2,0,83,4,6,10,28,46,38,13
2/20/2022,68,3,1,82.5,4,10,4,32,45,36,7
2/21/2022,72,0,0,82,3,7,9,33,41,42,7
2/22/2022,76,2,0,82.5,3,8,10,39,35,49,7
2/23/2022,86,2,0,82,2,5,11,39,45,38,6
2/24/2022,69,3,0,82.5,1,11,8,34,42,42,6
2/25/2022,51,2,1,83,0,6,6,32,45,38,4
2/26/2022,44,1,0,83,0,10,10,33,41,43,4
2/27/2022,45,3,0,82.5,0,11,10,39,34,49,5
2/28/2022,54,0,0,82,0,8,10,33,40,43,5
3/1/2022,58,0,0,80.5,8,10,12,26,45,38,3
3/2/2022,60,0,0,81,6,6,11,31,41,42,3
3/3/2022,52,0,0,81,8,7,11,31,36,47,0
3/4/2022,50,0,0,81,4,8,10,31,35,46,0
3/5/2022,41,3,0,81,2,9,11,39,31,50,0
3/6/2022,41,3,1,81,0,8,7,41,26,48,0
3/7/2022,36,1,0,81.5,0,8,7,40,34,47,2
3/8/2022,32,0,0,81,0,12,0,42,39,42,3
3/9/2022,31,3,1,81,0,8,5,46,30,51,0
3/10/2022,32,2,1,81,1,17,4,46,35,44,0
3/11/2022,32,2,0,82,0,11,5,38,38,43,1
3/12/2022,27,0,0,81,0,8,5,38,32,43,1
3/13/2022,25,0,0,80.5,0,8,6,37,35,43,0
3/14/2022,20,0,0,81,0,7,4,37,31,46,0
3/15/2022,24,2,2,82,0,7,5,37,30,42,0
3/16/2022,24,0,0,80,1,6,6,31,39,37,0
3/17/2022,25,0,0,80,2,5,6,37,38,43,0
3/18/2022,28,0,0,82,1,7,6,39,32,45,0
3/19/2022,26,2,0,84,0,7,6,37,36,43,0
3/20/2022,23,2,0,80,0,6,6,50,23,56,0
